date,ward,electorate,candidate,party,votes,percent
2014-05-22,Avonmouth,9185,Patrick Dorian Hulme,Trade Unionists and Socialists Against Cuts,16,0.47
2014-05-22,Avonmouth,9185,Ian Humfrey Campion-Smith,Liberal Democrat,108,3.17
2014-05-22,Avonmouth,9185,Stephen Kenneth James Norman,Independent,135,3.97
2014-05-22,Avonmouth,9185,Justin Michael Quinnell,Green,149,4.38
2014-05-22,Avonmouth,9185,Spud Murphy,UKIP,878,25.79
2014-05-22,Avonmouth,9185,John Thomas Bees,Labour,1051,30.88
2014-05-22,Avonmouth,9185,Matthew Simon Melias,Conservative,1067,31.35
2014-05-22,Bedminster,9951,Robin Victor Clapp,Trade Unionists and Socialists Against Cuts,204,5.47
2014-05-22,Bedminster,9951,Thom Oliver,Liberal Democrat,264,7.08
2014-05-22,Bedminster,9951,Sarah Helen Cleave,Conservative,680,18.23
2014-05-22,Bedminster,9951,Catherine Slade,Green,838,22.46
2014-05-22,Bedminster,9951,Mark Bradshaw,Labour,1745,46.77
2014-05-22,Bishopston,10303,Martin James Saddington,Trade Unionists and Socialists Against Cuts,65,1.37
2014-05-22,Bishopston,10303,Owen James Evans,Conservative,511,10.76
2014-05-22,Bishopston,10303,Barry John Cash,Liberal Democrat,757,15.95
2014-05-22,Bishopston,10303,Eileen Means,Labour,1168,24.61
2014-05-22,Bishopston,10303,Tim Malnick,Green,2246,47.31
2014-05-22,Bishopsworth,8857,Joseph John Etherington,Trade Unionists and Socialists Against Cuts,88,3.28
2014-05-22,Bishopsworth,8857,Gareth Owen,Liberal Democrat,92,3.43
2014-05-22,Bishopsworth,8857,Alan Wilson Baker,Green,230,8.58
2014-05-22,Bishopsworth,8857,Jon Craig,Independents for Bristol,431,16.07
2014-05-22,Bishopsworth,8857,Kye Daniel Dudd,Labour,783,29.19
2014-05-22,Bishopsworth,8857,Kevin Michael Quartley,Conservative,1058,39.45
2014-05-22,Brislington East,8893,Matthew Gordon,Trade Unionists and Socialists Against Cuts,35,1.11
2014-05-22,Brislington East,8893,Philip Collins,Independent,138,4.39
2014-05-22,Brislington East,8893,Pauline Mary Allen,Liberal Democrat,199,6.33
2014-05-22,Brislington East,8893,Peter Antony Goodwin,Green,241,7.66
2014-05-22,Brislington East,8893,Perry Hicks,Conservative,645,20.5
2014-05-22,Brislington East,8893,John Langley,UKIP,886,28.16
2014-05-22,Brislington East,8893,Mike Wollacott,Labour,1002,31.85
2014-05-22,Brislington West,8439,Ibado Ali Mahamoud,Trade Unionists and Socialists Against Cuts,63,2
2014-05-22,Brislington West,8439,Roy Towler,Conservative,501,15.91
2014-05-22,Brislington West,8439,Peter Henry Main,Liberal Democrat,800,25.4
2014-05-22,Brislington West,8439,Christopher James Robinson,UKIP,813,25.82
2014-05-22,Brislington West,8439,Rhian Elena Greaves,Labour,972,30.87
2014-05-22,Filwood,8299,Crispin Allard,Liberal Democrat,102,4.54
2014-05-22,Filwood,8299,Marion Jackson,Trade Unionists and Socialists Against Cuts,174,7.75
2014-05-22,Filwood,8299,Sylvia Christine Windows,Conservative,301,13.4
2014-05-22,Filwood,8299,Ryan Brinkley,Green,335,14.92
2014-05-22,Filwood,8299,Christopher David Jackson,Labour,1334,59.39
2014-05-22,Hartcliffe,8760,Paul Elvin,Liberal Democrat,122,5.29
2014-05-22,Hartcliffe,8760,Robert Nash,Trade Unionists and Socialists Against Cuts,223,9.67
2014-05-22,Hartcliffe,8760,Patrick Charles Gordon Slade,Green,283,12.27
2014-05-22,Hartcliffe,8760,Jonathan Robert Hucker,Conservative,648,28.09
2014-05-22,Hartcliffe,8760,Naomi Grace Rylatt,Labour,1031,44.69
2014-05-22,Henbury,7781,David Rawlings,Trade Unionists and Socialists Against Cuts,93,3.24
2014-05-22,Henbury,7781,Thomas Stephens,Liberal Democrat,139,4.85
2014-05-22,Henbury,7781,Ruby Tucker,Green,236,8.23
2014-05-22,Henbury,7781,Rosalie Walker,Labour,907,31.65
2014-05-22,Henbury,7781,Mark Weston,Conservative,1491,52.02
2014-05-22,Hengrove,9125,Mark Baker,Trade Unionists and Socialists Against Cuts,28,0.95
2014-05-22,Hengrove,9125,Neil Oliver Maggs,Respect,114,3.88
2014-05-22,Hengrove,9125,Graham Hugh Davey,Green,123,4.18
2014-05-22,Hengrove,9125,Sylvia Kathleen Doubell,Liberal Democrat,480,16.33
2014-05-22,Hengrove,9125,Antony Skelding,Conservative,503,17.11
2014-05-22,Hengrove,9125,Yvonne Eileen Clapp,Labour,780,26.53
2014-05-22,Hengrove,9125,Michael Frost,UKIP,912,31.02
2014-05-22,Henleaze,8021,Chris Farrell,Trade Unionists and Socialists Against Cuts,25,0.6
2014-05-22,Henleaze,8021,Nina Beale,UKIP,246,5.88
2014-05-22,Henleaze,8021,Geoff Collard,Green,307,7.34
2014-05-22,Henleaze,8021,Barry Thompson Trahar,Labour,488,11.66
2014-05-22,Henleaze,8021,Kevin Michael Staples,Conservative,1289,30.8
2014-05-22,Henleaze,8021,Clare Campion-Smith,Liberal Democrat,1830,43.73
2014-05-22,Horfield,9640,Martyn Ahmet,Trade Unionists and Socialists Against Cuts,52,1.39
2014-05-22,Horfield,9640,John Mark Hills,Green,474,12.69
2014-05-22,Horfield,9640,Peter Charles Brown,UKIP,520,13.92
2014-05-22,Horfield,9640,Cheryl Ann,Liberal Democrat,699,18.71
2014-05-22,Horfield,9640,Nigel John Currie,Conservative,958,25.65
2014-05-22,Horfield,9640,Olly Mead,Labour,1032,27.63
2014-05-22,Kingsweston,7570,Caroline Louisa Vincent,Trade Unionists and Socialists Against Cuts,22,0.78
2014-05-22,Kingsweston,7570,Ben Appleby,Green,195,6.9
2014-05-22,Kingsweston,7570,Barbara Madeleine Lewis,Conservative,489,17.31
2014-05-22,Kingsweston,7570,Mike Thorne,Labour,654,23.15
2014-05-22,Kingsweston,7570,Terence Richard Daniel Thomas,UKIP,720,25.49
2014-05-22,Kingsweston,7570,Tim Leaman,Liberal Democrat,745,26.37
2014-05-22,Knowle,8393,Domenico William Hill,Trade Unionists and Socialists Against Cuts,43,1.19
2014-05-22,Knowle,8393,Graham David Morris,Conservative,239,6.62
2014-05-22,Knowle,8393,Stephen Petter,Green,311,8.61
2014-05-22,Knowle,8393,Steve Wood,UKIP,477,13.2
2014-05-22,Knowle,8393,Christopher Louis Orlik,Labour,884,24.47
2014-05-22,Knowle,8393,Gary Hopkins,Liberal Democrat,1659,45.92
2014-05-22,Lockleaze,8182,Roger Thomas,Trade Unionists and Socialists Against Cuts,41,1.45
2014-05-22,Lockleaze,8182,Darien Luke Jay,Conservative,242,8.54
2014-05-22,Lockleaze,8182,Chrissie Quinnell,Green,309,10.9
2014-05-22,Lockleaze,8182,Pearleta Chicketer Hopkins,UKIP,452,15.95
2014-05-22,Lockleaze,8182,Sean Clifford Emmett,Liberal Democrat,719,25.37
2014-05-22,Lockleaze,8182,Gill Kirk,Labour,1071,37.79
2014-05-22,Redland,8696,Laura Collins,Trade Unionists and Socialists Against Cuts,26,0.64
2014-05-22,Redland,8696,Christine Wyndham-Thomas,UKIP,171,4.22
2014-05-22,Redland,8696,Stella Jane Perrett,Independents for Bristol,327,8.08
2014-05-22,Redland,8696,Christopher Morton,Conservative,661,16.33
2014-05-22,Redland,8696,Philip John Jardine,Labour,689,17.02
2014-05-22,Redland,8696,Alex Smethurst,Liberal Democrat,709,17.51
2014-05-22,Redland,8696,Martin Fodor,Green,1465,36.19
2014-05-22,Southmead,8255,John Yeandle,Trade Unionists and Socialists Against Cuts,18,0.71
2014-05-22,Southmead,8255,Andrew John Morgan,Liberal Democrat,145,5.72
2014-05-22,Southmead,8255,Chris Millman,Green,160,6.31
2014-05-22,Southmead,8255,Paige Cora Betty Elsie Golding,Conservative,458,18.07
